SMILES,Solved_with_AiZynthFinder
CC(C)OC(=O)[C@H](C)NC1=C2C=NN(C(C)C)C2=NC(NCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OC(C)(C)C)=N1,True
C/C(=C/C(=O)OC/C=C/C1=CC=CC=C1)NC1=C2N=CN(C)C2=NC(NC2=CC3=C(C)N(C)N=C3C=C2)=N1,True
COC(=O)C(CC(C)C)NC1=NC(NCCN2N=C(C)C=C2C)=C2C=CC(Br)=C(F)C2=N1,True
CN1C=NC2=NC(NC3=CC(C(F)(F)F)=CC=C3Cl)=NC(NCC3=CC=C(F)C(Br)=C3)=C21,True
COC(=O)C1=C(C)N(C2=NC(N3CCC4=CC(OC)=C(OC)C=C4C3C)=NC3=CC(C)=CC=C23)C(C)=C(C(=O)OC)C1C1=CC=C(C)S1,False
O=C(NC1CCCNC1=O)C1=C2CCN(C3=CC=C(C4=CC=CC([N+](=O)[O-])=C4)N=N3)CC2=CC=C1,True
COCCCN(CCOC1=CC=C2C=CC=CC2=C1Br)C1=NC(C)=NC(N(CCC2=CC=CC=C2)C(C)C)=C1F,True
CCOC1=CC=C(CNC2=C3SC(C)=CC3=NC(NCC3=CC=CN=C3C(F)(F)F)=N2)C=C1,True
COC1=CC2=C(N3CCN4C=CC=C4C3C)N=C(N[C@@H](C)C3=CC(C)=CC=C3C)N=C2C=C1,True
N#CC1=CN=C(N2CCSC2C(=O)N(CC2=CC=C3OCOC3=C2)C2CCCCC2)N=C1,True
CCN(CC)C1CCN(C(=O)C2=CC(N3CCN(C4=CC=C(C(=O)OC)C(C)=N4)CC3)=NC=C2)C1,True
CC1=CC=C(NC2=NC(C)=C(C)C(N(CC3=CC=C(Cl)C=C3)CC3=CC=C4OCOC4=C3)=N2)C=C1F,True
CC1=C(F)C=CC2=C(NCC3=NC=CC=C3C(F)(F)F)N=C(NC3CCC4=CC=C(F)C=C43)N=C12,True
CNC(=O)C1=CC=C(NC(=O)C2=C3C(=CC=C2)CCCN3C2=NC=CC=C2C(=O)N(C)OC)C=C1,False
C#CCN(C(=O)C1(C)CCCCN1C1=CC(C)=NC(C)=C1)C(C)C1=CC=CC(F)=C1,True
CC1=NC=C(CNC2=NC(N[C@H](C)C3=CC=NC=C3)=C3C(=N2)C=CN3C)S1,True
