SMILES,RA_score,SA_score
Clc1c(N2CCC3(CC2)OCCc2ccccc23)ncnc1N1CCC2(CC1)OCCc1ccccc12,0.99999624,3.8371715490567126
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(N3CCC4(CC3)OCCc3ccccc34)c2Cl)nc1C,0.99938494,3.628819728876863
COC(=O)CC(Nc1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl)c1ccc(F)cc1,0.29455027,3.7738401743789423
O=c1oc2ccccc2c(Nc2ncnc(N3CCC4(CC3)OCCc3ccccc34)c2Cl)c1[N+](=O)[O-],0.9999133,3.5326862125196454
COCCN(c1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl)C(C)C,0.9993455,3.437735064301556
CCCCN(c1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl)C(C)CC,0.9962416,3.8791458004972963
CS(=O)(=O)CCNc1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl,0.30639577,3.361510161115284
CN(Cc1c(F)cccc1Cl)c1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl,0.9999997,3.3920966669247656
CCCN(Cc1cccc(Br)c1)c1ncnc(N2CCC3(CC2)OCCc2ccccc23)c1Cl,0.9999994,3.378752694810906
Fc1ccc(CN(c2ncnc(N3CCC4(CC3)OCCc3ccccc34)c2Cl)C2CCCCC2)cc1,0.99967355,3.3767487099638966
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(N3CCC4(CC3)OCCc3ccccc34)c2Cl)nc1C,0.99938494,3.628819728876863
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(Nc3ccc([N+](=O)[O-])cc3-c3nc(C)c(C(=O)OCC)s3)c2Cl)nc1C,0.98941267,3.2754044563970233
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(NC(CC(=O)OC)c3ccc(F)cc3)c2Cl)nc1C,0.22326276,3.395483321108898
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(Nc3c([N+](=O)[O-])c(=O)oc4ccccc34)c2Cl)nc1C,0.99801654,3.1437992376948394
CCOC(=O)c1sc(-c2cc([N+](=O)[O-])ccc2Nc2ncnc(N(CCOC)C(C)C)c2Cl)nc1C,0.9998027,2.984053612959805
CCCCN(c1ncnc(Nc2ccc([N+](=O)[O-])cc2-c2nc(C)c(C(=O)OCC)s2)c1Cl)C(C)CC,0.99995744,3.434175128661227
