SMILES	synton_id	synton#	reaction_id	release
CCn1ccc(N[U])n1	42126	1	a1	3
CN([U])Cc1c(F)cccc1F	190004	1	a1	3
Cn1c(CN[U])nc2ccccc21	14718	1	a1	3
[U]NCc1nc2c(s1)CCCC2	269941	1	a1	3
Clc1ncc(N[U])cc1Br	21650	1	a1	3
OCc1cccc2c1CCN2[U]	26125	1	a1	3
Cn1c(N[U])nc2ccccc21	59965	1	a1	3
O=C(CN([U])CC(=O)Nc1ccc(F)c(F)c1F)Nc1ccc(F)c(F)c1F	236986	1	a1	3
CC1c2ccccc2CCN1[U]	43865	1	a1	3
Cc1ccc(NC(=O)C(C)N[U])c(F)c1	464328	1	a1	3
Cc1ccc(S(=O)(=O)NC2CCCCC2)cc1C(=O)[U]	159495	2	a1	3
O=C([U])Cc1cc(Br)c(Cl)cc1[N+](=O)[O-]	392583	2	a1	3
N#CCSCC(=O)[U]	24536	2	a1	3
O=C([U])C=Cc1c(Cl)cccc1Cl	37554	2	a1	3
O=C([U])c1cccn2nnnc12	280446	2	a1	3
O=C([U])/C(F)=C\c1ccccc1	277740	2	a1	3
CCOc1ccc(-c2nnc(SC(F)F)n2CCC(=O)[U])cc1	179597	2	a1	3
Cc1ccc(C)c(SCc2cccc(C(=O)[U])c2)c1	160176	2	a1	3
N#CCOc1ccccc1C(=O)[U]	285418	2	a1	3
O=C([U])c1ccc2c(c1)C(=O)N(CCc1c[nH]c3ccccc13)C2=O	393731	2	a1	3
CCC(C(C)C)N([U])C1CC1	219895	1	a2	3
[U]N(Cc1cocn1)Cc1cocn1	47095	1	a2	3
COC1CCN(C2CCN([U])CC2)CC1	63562	1	a2	3
O=[N+]([O-])c1ccc2c(c1)N([U])CC2	30263	1	a2	3
CC[C@@H](C(N)=O)N(C)[U]	28668	1	a2	3
COc1ccc(N[U])cc1Cl	203442	1	a2	3
[U]N1CCN(c2ncccn2)CC1	32812	1	a2	3
[U]Nc1ccc(-c2cccs2)cc1	378752	1	a2	3
Fc1ccc(-c2ccc(CCN[U])cc2)cc1	378999	1	a2	3
COc1ccccc1C1CCCCN1[U]	205312	1	a2	3
[U]c1nc(-c2ccccc2)nc(-c2cccc3ccccc23)n1	2998	2	a2	3
NC(=O)c1cnc2cc(F)c(F)cc2c1[U]	432802	2	a2	3
O=[N+]([O-])c1ccc(-c2ccccc2)nc1[U]	11814	2	a2	3
Nc1ccc2nc([U])cnc2c1	103881	2	a2	3
CC(C)Oc1cnc([U])c([N+](=O)[O-])c1	50853	2	a2	3
[U]c1cc(-c2ccccc2)ncn1	112655	2	a2	3
[U]c1ncnc2[nH]ncc12	63818	2	a2	3
COC(=O)c1ccnc([U])c1	26409	2	a2	3
FC(F)(F)Oc1ccc([U])nc1	40984	2	a2	3
COc1cc2c([U])c(C#N)cnc2cc1OCCCN1CCOCC1	40595	2	a2	3
CC1SCC(C(=O)[Np])N1[U]	155135	1	a7	3
O=C([Np])CCC1CCCCN1[U]	245801	1	a7	3
O=C([Np])C1CSCN1[U]	11206	1	a7	3
C[C@@H](OC(C)(C)C)[C@@H](C(=O)[Np])N(C)[U]	27983	1	a7	3
C[C@@H](C(=O)[Np])N([U])C1CCCCC1	5032	1	a7	3
O=C([Np])CC1CCCN([U])C1	58007	1	a7	3
CC(C)(C)N([U])CCC(=O)[Np]	214206	1	a7	3
O=C([Np])C1CC(O)CN1[U]	99991	1	a7	3
O=C([Np])C1(F)CCN([U])CC1	279684	1	a7	3
O=C([Np])c1ccc(OC2CN([U])C2)cc1	245501	1	a7	3
Cc1cc(F)cnc1[U]	12659	2	a7	3
O=c1cc([U])[nH]c(=O)[nH]1	40614	2	a7	3
[U]c1ncnc2cc[nH]c12	65951	2	a7	3
CSc1cc([U])ccn1	26029	2	a7	3
N#Cc1ccnc([U])c1N	9935	2	a7	3
Cc1cc([U])ncc1O	31454	2	a7	3
Cc1ccc(N)nc1[U]	27015	2	a7	3
N#Cc1cnc([U])nc1N	57157	2	a7	3
Cc1cnc([U])cc1[N+](=O)[O-]	39864	2	a7	3
Cn1ncc2c(N)nc([U])nc21	187866	2	a7	3
Cn1ccc2cc(N[Np])ccc21	40153	3	a7	3
CCCN([Np])CCC	171761	3	a7	3
Cc1cc2c(N[Np])cccc2nn1	317407	3	a7	3
N#Cc1ccc([N+](=O)[O-])c(N[Np])c1	55187	3	a7	3
C#CC(CC)(CC)N[Np]	305643	3	a7	3
O[C@@H]1CCN([Np])C1	43884	3	a7	3
[Np]Nc1cccc(Cc2ccccc2)c1	338459	3	a7	3
C[C@@H](N[Np])c1ccc(C#N)cc1	28042	3	a7	3
COC(=O)[C@H]1COCCN1[Np]	35834	3	a7	3
CCN(CC)c1ccc(N[Np])cn1	172470	3	a7	3
